dataset_id,title
MacdonellDF,"Macdonell's Data on Height and Finger Length of Criminals, used by Gosset (1908)"
Michelson,Michelson's Determinations of the Velocity of Light
MichelsonSets,Michelson's Determinations of the Velocity of Light
Minard.cities,Data from Minard's famous graphic map of Napoleon's march on Moscow
Minard.temp,Data from Minard's famous graphic map of Napoleon's march on Moscow
Minard.troops,Data from Minard's famous graphic map of Napoleon's march on Moscow
Nightingale,Florence Nightingale's data on deaths from various causes in the Crimean War
OldMaps,Latitudes and Longitudes of 39 Points in 11 Old Maps
PearsonLee,Pearson and Lee's data on the heights of parents and children classified by gender
PolioTrials,Polio Field Trials Data
Prostitutes,Parent-Duchatelet's time-series data on the number of prostitutes in Paris
Pyx,Trial of the Pyx
Quarrels,Statistics of Deadly Quarrels
Snow.deaths,John Snow's map and data on the 1854 London Cholera outbreak
Snow.polygons,John Snow's map and data on the 1854 London Cholera outbreak
Snow.pumps,John Snow's map and data on the 1854 London Cholera outbreak
Snow.streets,John Snow's map and data on the 1854 London Cholera outbreak
Wheat,Playfair's Data on Wages and the Price of Wheat
Wheat.monarchs,Playfair's Data on Wages and the Price of Wheat
Yeast,Student's (1906) Yeast Cell Counts
YeastD.mat,Student's (1906) Yeast Cell Counts
ZeaMays,Darwin's Heights of Cross- and Self-fertilized Zea May Pairs
barley,Yield data from a Minnesota barley trial
environmental,Atmospheric environmental conditions in New York City
ethanol,Engine exhaust fumes from burning ethanol
melanoma,Melanoma skin cancer incidence
singer,Heights of New York Choral Society singers
Aids2,Australian AIDS Survival Data
Animals,Brain and Body Weights for 28 Species
Boston,Housing Values in Suburbs of Boston
Cars93,Data from 93 Cars on Sale in the USA in 1993
Cushings,Diagnostic Tests on Patients with Cushing's Syndrome
DDT,DDT in Kale
GAGurine,Level of GAG in Urine of Children
Insurance,Numbers of Car Insurance claims
Melanoma,Survival from Malignant Melanoma
OME,Tests of Auditory Perception in Children with OME
Pima.te,Diabetes in Pima Indian Women
Pima.tr,Diabetes in Pima Indian Women
Pima.tr2,Diabetes in Pima Indian Women
Rabbit,Blood Pressure in Rabbits
Rubber,Accelerated Testing of Tyre Rubber
SP500,Returns of the Standard and Poors 500
Sitka,Growth Curves for Sitka Spruce Trees in 1988
Sitka89,Growth Curves for Sitka Spruce Trees in 1989
Skye,AFM Compositions of Aphyric Skye Lavas
Traffic,Effect of Swedish Speed Limits on Accidents
UScereal,Nutritional and Marketing Information on US Cereals
UScrime,The Effect of Punishment Regimes on Crime Rates
VA,Veteran's Administration Lung Cancer Trial
abbey,Determinations of Nickel Content
accdeaths,Accidental Deaths in the US 1973-1978
anorexia,Anorexia Data on Weight Change
bacteria,Presence of Bacteria after Drug Treatments
beav1,Body Temperature Series of Beaver 1
beav2,Body Temperature Series of Beaver 2
biopsy,Biopsy Data on Breast Cancer Patients
birthwt,Risk Factors Associated with Low Infant Birth Weight
cabbages,Data from a cabbage field trial
caith,Colours of Eyes and Hair of People in Caithness
cats,Anatomical Data from Domestic Cats
cement,Heat Evolved by Setting Cements
chem,Copper in Wholemeal Flour
coop,Co-operative Trial in Analytical Chemistry
cpus,Performance of Computer CPUs
crabs,Morphological Measurements on Leptograpsus Crabs
deaths,Monthly Deaths from Lung Diseases in the UK
drivers,Deaths of Car Drivers in Great Britain 1969-84
eagles,Foraging Ecology of Bald Eagles
epil,Seizure Counts for Epileptics
farms,Ecological Factors in Farm Management
fgl,Measurements of Forensic Glass Fragments
forbes,Forbes' Data on Boiling Points in the Alps
galaxies,Velocities for 82 Galaxies
gehan,Remission Times of Leukaemia Patients
genotype,Rat Genotype Data
geyser,Old Faithful Geyser Data
gilgais,Line Transect of Soil in Gilgai Territory
hills,Record Times in Scottish Hill Races
housing,Frequency Table from a Copenhagen Housing Conditions Survey
immer,Yields from a Barley Field Trial
leuk,Survival Times and White Blood Counts for Leukaemia Patients
mammals,Brain and Body Weights for 62 Species of Land Mammals
mcycle,Data from a Simulated Motorcycle Accident
menarche,Age of Menarche in Warsaw
michelson,Michelson's Speed of Light Data
minn38,Minnesota High School Graduates of 1938
motors,Accelerated Life Testing of Motorettes
muscle,Effect of Calcium Chloride on Muscle Contraction in Rat Hearts
newcomb,Newcomb's Measurements of the Passage Time of Light
nlschools,Eighth-Grade Pupils in the Netherlands
npk,"Classical N, P, K Factorial Experiment"
npr1,US Naval Petroleum Reserve No. 1 data
oats,Data from an Oats Field Trial
painters,The Painter's Data of de Piles
petrol,N. L. Prater's Petrol Refinery Data
quine,Absenteeism from School in Rural New South Wales
road,Road Accident Deaths in US States
rotifer,Numbers of Rotifers by Fluid Density
ships,Ships Damage Data
shrimp,Percentage of Shrimp in Shrimp Cocktail
shuttle,Space Shuttle Autolander Problem
snails,Snail Mortality Data
steam,The Saturated Steam Pressure Data
stormer,The Stormer Viscometer Data
survey,Student Survey Data
synth.te,Synthetic Classification Problem
synth.tr,Synthetic Classification Problem
topo,Spatial Topographic Data
waders,Counts of Waders at 15 Sites in South Africa
whiteside,House Insulation: Whiteside's Data
wtloss,Weight Loss Data from an Obese Patient
Cigar,Cigarette Consumption
Crime,Crime in North Carolina
EmplUK,Employment and Wages in the United Kingdom
Gasoline,Gasoline Consumption
Grunfeld,Grunfeld's Investment Data
Hedonic,Hedonic Prices of Census Tracts in the Boston Area
LaborSupply,Wages and Hours Worked
Males,Wages and Education of Young Males
Produc,US States Production
Snmesp,Employment and Wages in Spain
SumHes,"The Penn World Table, v. 5"
Wages,Panel Data of Individual Wages
baseball,Yearly batting records for all major league baseball players
AustralianElectionPolling,"Political opinion polls in Australia, 2004-07"
AustralianElections,"elections to Australian House of Representatives, 1949-2007"
EfronMorris,"Batting Averages for 18 major league baseball players, 1970"
RockTheVote,"Voter turnout experiment, using Rock The Vote ads"
UKHouseOfCommons,1992 United Kingdom electoral returns
absentee,Absentee and Machine Ballots in Pennsylvania State Senate Races
admit,Applications to a Political Science PhD Program
bioChemists,article production by graduate students in biochemistry Ph.D. programs
ca2006,California Congressional Districts in 2006
iraqVote,"U.S. Senate vote on the use of force against Iraq, 2002."
politicalInformation,Interviewer ratings of respondent levels of political information
presidentialElections,"elections for U.S. President, 1932-2012, by state"
prussian,Prussian army horse kick data
unionDensity,cross national rates of trade union density
vote92,Reports of voting in the 1992 U.S. Presidential election.
french_fries,Sensory data from a french fries experiment.
smiths,Demo data describing the Smiths.
tips,Tipping data
car.test.frame,Automobile Data from 'Consumer Reports' 1990
car90,Automobile Data from 'Consumer Reports' 1990
cu.summary,Automobile Data from 'Consumer Reports' 1990
kyphosis,Data on Children who have had Corrective Spinal Surgery
solder,Soldering of Components on Printed-Circuit Boards
stagec,Stage C Prostate Cancer
PublicSchools,US Expenditures for Public Schools
Bollen,Bollen's Data on Industrialization and Political Democracy
CNES,Variables from the 1997 Canadian National Election Study
Klein,Klein's Data on the U. S. Economy
Kmenta,Partly Artificial Data on the U. S. Economy
Tests,Six Mental Tests
bladder,Bladder Cancer Recurrences
cancer,NCCTG Lung Cancer Data
cgd,Chronic Granulotomous Disease data
colon,Chemotherapy for Stage B/C colon cancer
flchain,Assay of serum free light chain for 7874 subjects.
heart,Stanford Heart Transplant data
kidney,Kidney catheter data
leukemia,Acute Myelogenous Leukemia survival data
logan,Data from the 1972-78 GSS data used by Logan
lung,NCCTG Lung Cancer Data
mgus,Monoclonal gammapothy data
nwtco,Data from the National Wilm's Tumor Study
ovarian,Ovarian Cancer Survival Data
pbc,Mayo Clinic Primary Biliary Cirrhosis Data
rats,Rat treatment data from Mantel et al
stanford2,More Stanford Heart Transplant data
tobin,Tobin's Tobit data
veteran,Veterans' Administration Lung Cancer study
Arthritis,Arthritis Treatment Data
Baseball,Baseball Data
BrokenMarriage,Broken Marriage Data
Bundesliga,Ergebnisse der Fussball-Bundesliga
Bundestag2005,Votes in German Bundestag Election 2005
Butterfly,Butterfly Species in Malaya
CoalMiners,Breathlessness and Wheeze in Coal Miners
DanishWelfare,Danish Welfare Study Data
Employment,Employment Status
Federalist,'May' in Federalist Papers
Hitters,Hitters Data
HorseKicks,Death by Horse Kicks
Hospital,Hospital data
JobSatisfaction,Job Satisfaction Data
JointSports,Opinions About Joint Sports
Lifeboats,Lifeboats on the Titanic
NonResponse,Non-Response Survey Data
OvaryCancer,Ovary Cancer Data
PreSex,Pre-marital Sex and Divorce
Punishment,Corporal Punishment Data
RepVict,Repeat Victimization Data
Saxony,Families in Saxony
SexualFun,Sex is Fun
SpaceShuttle,Space Shuttle O-ring Failures
Suicide,Suicide Rates in Germany
Trucks,Truck Accidents Data
UKSoccer,UK Soccer Scores
VisualAcuity,Visual Acuity in Left and Right Eyes
VonBort,Von Bortkiewicz Horse Kicks Data
WeldonDice,Weldon's Dice Data
WomenQueue,Women in Queues
MatchIt.url,Table of links for Zelig
PErisk,Political Economic Risk Data from 62 Countries in 1987
SupremeCourt,U.S. Supreme Court Vote Matrix
Weimar,1932 Weimar election data
Zelig.url,Table of links for Zelig
approval,U.S. Presidential Approval Data
bivariate,Sample data for bivariate probit regression
coalition,Coalition Dissolution in Parliamentary Democracies
coalition2,"Coalition Dissolution in Parliamentary Democracies, Modified Version"
eidat,Simulation Data for Ecological Inference
free1,Freedom of Speech Data
free2,Freedom of Speech Data
friendship,Simulated Example of Schoolchildren Friendship Network
grunfeld,Simulation Data for model Seemingly Unrelated Regression (sur) that corresponds to method SUR of systemfit
hoff,Social Security Expenditure Data
homerun,Sample Data on Home Runs Hit By Mark McGwire and Sammy Sosa in 1998.
immi1,Individual Preferences Over Immigration Policy
immi2,Individual Preferences Over Immigration Policy
immi3,Individual Preferences Over Immigration Policy
immi4,Individual Preferences Over Immigration Policy
immi5,Individual Preferences Over Immigration Policy
immigration,Individual Preferences Over Immigration Policy
klein,Simulation Data for model Two-Stage Least Square (twosls) that corresponds to method 2SLS of systemfit
kmenta,Simulation Data for model Three-Stage Least Square (threesls) that corresponds to method 3SLS of systemfit
macro,Macroeconomic Data
mexico,Voting Data from the 1988 Mexican Presidental Election
mid,Militarized Interstate Disputes
newpainters,The Discretized Painter's Data of de Piles
sanction,Multilateral Economic Sanctions
sna.ex,Simulated Example of Social Network Data
swiss,Swiss Fertility and Socioeconomic Indicators (1888) Data
tobin,Tobin's Tobit Data
turnout,Turnout Data Set from the National Election Survey
voteincome,Sample Turnout and Demographic Data from the 2000 Current Population Survey
BCG,BCG Vaccine Data
BtheB,Beat the Blues Data
CYGOB1,CYG OB1 Star Cluster Data
Forbes2000,The Forbes 2000 Ranking of the World's Biggest Companies (Year 2004)
GHQ,General Health Questionnaire
Lanza,Prevention of Gastointestinal Damages
agefat,Total Body Composision Data
aspirin,Aspirin Data
birthdeathrates,Birth and Death Rates Data
bladdercancer,Bladder Cancer Data
clouds,Cloud Seeding Data
epilepsy,Epilepsy Data
foster,Foster Feeding Experiment
heptathlon,Olympic Heptathlon Seoul 1988
mastectomy,Survival Times after Mastectomy of Breast Cancer Patients
meteo,Meteorological Measurements for 11 Years
orallesions,Oral Lesions in Rural India
phosphate,Phosphate Level Data
pistonrings,Piston Rings Failures
planets,Exoplanets Data
plasma,Blood Screening Data
polyps,Familial Andenomatous Polyposis
polyps3,Familial Andenomatous Polyposis
pottery,Romano-British Pottery Data
rearrests,Rearrests of Juvenile Felons
respiratory,Respiratory Illness Data
roomwidth,Students Estimates of Lecture Room Width
schizophrenia,Age of Onset of Schizophrenia Data
schizophrenia2,Schizophrenia Data
schooldays,Days not Spent at School
skulls,Egyptian Skulls
smoking,Nicotine Gum and Smoking Cessation
students,Student Risk Taking
suicides,Crowd Baiting Behaviour and Suicides
toothpaste,Toothpaste Data
voting,House of Representatives Voting Data
water,Mortality and Water Hardness
watervoles,Water Voles Data
waves,Electricity from Wave Power at Sea
weightgain,Gain in Weight of Rats
womensrole,Womens Role in Society
Bechtoldt,Seven data sets showing a bifactor solution.
Bechtoldt.1,Seven data sets showing a bifactor solution.
Bechtoldt.2,Seven data sets showing a bifactor solution.
Dwyer,8 cognitive variables used by Dwyer for an example.
Gleser,"Example data from Gleser, Cronbach and Rajaratnam (1965) to show basic principles of generalizability theory."
Gorsuch,Example data set from Gorsuch (1997) for an example factor extension.
Harman.5,5 socio-economic variables from Harman (1967)
Harman.8,"Correlations of eight physical variables (from Harman, 1966)"
Harman.political,Eight political variables used by Harman (1967) as example 8.17
Holzinger,Seven data sets showing a bifactor solution.
Holzinger.9,Seven data sets showing a bifactor solution.
Reise,Seven data sets showing a bifactor solution.
Schmid,12 variables created by Schmid and Leiman to show the Schmid-Leiman Transformation
Thurstone,Seven data sets showing a bifactor solution.
Thurstone.33,Seven data sets showing a bifactor solution.
Tucker,9 Cognitive variables discussed by Tucker and Lewis (1973)
ability,16 ability items scored as correct or incorrect.
affect,Two data sets of affect and arousal scores as a function of personality and movie conditions
bfi,25 Personality items representing 5 factors
bfi.dictionary,25 Personality items representing 5 factors
blot,Bond's Logical Operations Test - BLOT
burt,11 emotional variables from Burt (1915)
cities,Distances between 11 US cities
cubits,Galton's example of the relationship between height and 'cubit' or forearm length
cushny,"A data set from Cushny and Peebles (1905) on the effect of three drugs on hours of sleep, used by Student (1908)"
epi,Eysenck Personality Inventory (EPI) data for 3570 participants
epi.bfi,13 personality scales from the Eysenck Personality Inventory and Big 5 inventory
epi.dictionary,Eysenck Personality Inventory (EPI) data for 3570 participants
galton,Galton's Mid parent child height data
heights,A data.frame of the Galton (1888) height and cubit data set.
income,US family income from US census 2008
iqitems,16 multiple choice IQ items
msq,75 mood items from the Motivational State Questionnaire for 3896 participants
neo,NEO correlation matrix from the NEO_PI_R manual
peas,Galton's Peas
sat.act,"3 Measures of ability: SATV, SATQ, ACT"
withinBetween,An example of the distinction between within group and between group correlations
Bosco,Boscovich Data
CobarOre,Cobar Ore data
Mammals,Garland(1983) Data on Running Speed of Mammals
barro,Barro Data
engel,Engel Data
uis,UIS Drug Treatment study data
dietox,Growth curves of pigs in a 3x3 factorial experiment
koch,Ordinal Data from Koch
ohio,Ohio Children Wheeze Status
respdis,Clustered Ordinal Respiratory Disorder
respiratory,Data from a clinical trial comparing two treatments for a respiratory illness
seizure,Epiliptic Seizures
sitka89,Growth of Sitka Spruce Trees
spruce,Log-size of 79 Sitka spruce trees
liver,Liver related laboratory data
portpirie,"Rain, wavesurge and portpirie datasets."
rain,"Rain, wavesurge and portpirie datasets."
summer,"Air pollution data, separately for summer and winter months"
wavesurge,"Rain, wavesurge and portpirie datasets."
winter,"Air pollution data, separately for summer and winter months"
arthritis,Rheumatoid Arthritis Clinical Trial
housing,Homeless Data
bmw,Daily Log Returns on BMW Share Price
danish,Danish Fire Insurance Claims
nidd.annual,The River Nidd Data
nidd.thresh,The River Nidd Data
siemens,Daily Log Returns on Siemens Share Price
sp.raw,SP Data to June 1993
spto87,SP Return Data to October 1987
Dyestuff,Yield of dyestuff by batch
Dyestuff2,Yield of dyestuff by batch
InstEval,University Lecture/Instructor Evaluations by Students at ETH
Pastes,Paste strength by batch and cask
Penicillin,Variation in penicillin testing
VerbAgg,Verbal Aggression item responses
cake,Breakage Angle of Chocolate Cakes
cbpp,Contagious bovine pleuropneumonia
grouseticks,Data on red grouse ticks from Elston et al. 2001
sleepstudy,Reaction times in a sleep deprivation study
